Country,Education_student_work,Education_employed_other,Education_employed,Education_unemployed,Education_inactive,Education,NE_employed,NE_unemployed,NE_inactive,NE_neet,NE,Total,Amount,Below_upper_secondary,Upper_secondary,Tertiary,Shortcycle_tertiary,Bachelor,Master,Doctoral,Earnings_below_upper_secondary,Earnings_tertiary,Earnings_shortcycle_tertiary,Earnings_Bachelor,Earnings_master,Earnings_doctoral,Earnings_upper_secondary
Portugal,,6.0,6.0,2.0,55.0,62.0,26.0,7.0,5.0,11.0,38.0,100.0,560817.0,70.5,84.4,90.9,84.4,86.8,92.6,97.3,83.0,171.0,106.0,,171.0,,
Slovak Republic,,4.0,4.0,,57.0,61.0,26.0,7.0,6.0,13.0,39.0,100.0,271150.0,33.3,80.4,89.6,89.7,81.2,90.8,91.3,82.0,153.0,122.0,126.0,154.0,156.0,
Slovenia,,18.0,18.0,2.0,49.0,69.0,22.0,3.0,6.0,9.0,31.0,100.0,101547.0,50.6,77.8,90.8,85.5,89.5,93.3,95.7,84.0,163.0,131.0,142.0,170.0,183.0,
Spain,,9.0,9.0,3.0,48.0,61.0,22.0,9.0,8.0,17.0,39.0,100.0,2464606.0,59.9,72.2,83.0,80.5,80.7,86.0,92.1,80.0,155.0,112.0,146.0,172.0,185.0,100.0
Sweden,,18.0,18.0,8.0,32.0,57.0,34.0,5.0,4.0,9.0,43.0,100.0,581853.0,65.0,84.1,90.2,83.6,90.1,93.5,96.0,86.0,126.0,108.0,116.0,130.0,145.0,
Switzerland,17.0,17.0,34.0,2.0,17.0,53.0,34.0,3.0,9.0,12.0,47.0,100.0,469799.0,65.9,82.6,88.9,,88.1,89.3,92.5,80.0,145.0,,130.0,145.0,162.0,
Turkiye,,10.0,10.0,3.0,20.0,33.0,34.0,9.0,24.0,33.0,67.0,100.0,,52.0,62.5,73.5,64.9,75.5,82.8,93.4,77.0,153.0,,,,,
United Kingdom,6.0,15.0,21.0,1.0,23.0,45.0,43.0,4.0,8.0,12.0,55.0,100.0,4004388.0,63.0,79.4,86.7,81.1,87.2,89.0,90.2,73.0,143.0,122.0,139.0,147.0,160.0,
United States,,18.0,18.0,1.0,26.0,45.0,40.0,4.0,11.0,15.0,55.0,100.0,22705779.0,56.2,70.6,82.7,77.7,82.5,86.3,90.2,78.0,173.0,110.0,169.0,189.0,221.0,
OECD,,17.0,18.0,2.0,34.0,54.0,31.0,5.0,10.0,15.0,46.0,100.0,88112381.0,59.4,76.8,86.4,81.9,85.2,89.7,93.4,82.0,156.0,122.0,143.0,160.0,188.0,
EU25,,15.0,15.0,2.0,42.0,60.0,27.0,5.0,9.0,14.0,40.0,100.0,23904355.0,57.0,78.1,88.2,83.5,85.7,90.2,93.8,84.0,152.0,125.0,135.0,156.0,171.0,
